Category: All categories

Day,peste: (Madagascar)
2017-08-01,0
2017-08-02,0
2017-08-03,0
2017-08-04,0
2017-08-05,0
2017-08-06,0
2017-08-07,0
2017-08-08,0
2017-08-09,0
2017-08-10,0
2017-08-11,0
2017-08-12,0
2017-08-13,0
2017-08-14,0
2017-08-15,0
2017-08-16,0
2017-08-17,0
2017-08-18,0
2017-08-19,0
2017-08-20,0
2017-08-21,0
2017-08-22,0
2017-08-23,0
2017-08-24,0
2017-08-25,0
2017-08-26,0
2017-08-27,0
2017-08-28,0
2017-08-29,0
2017-08-30,0
2017-08-31,0
2017-09-01,0
2017-09-02,0
2017-09-03,0
2017-09-04,0
2017-09-05,0
2017-09-06,0
2017-09-07,0
2017-09-08,0
2017-09-09,0
2017-09-10,0
2017-09-11,0
2017-09-12,11
2017-09-13,38
2017-09-14,17
2017-09-15,10
2017-09-16,5
2017-09-17,0
2017-09-18,0
2017-09-19,0
2017-09-20,0
2017-09-21,0
2017-09-22,0
2017-09-23,0
2017-09-24,0
2017-09-25,0
2017-09-26,0
2017-09-27,0
2017-09-28,0
2017-09-29,0
2017-09-30,12
2017-10-01,24
2017-10-02,100
2017-10-03,51
2017-10-04,36
2017-10-05,34
2017-10-06,33
2017-10-07,31
2017-10-08,22
2017-10-09,25
2017-10-10,25
2017-10-11,16
2017-10-12,24
2017-10-13,28
2017-10-14,22
2017-10-15,21
2017-10-16,19
2017-10-17,19
2017-10-18,15
2017-10-19,13
2017-10-20,15
2017-10-21,15
2017-10-22,12
2017-10-23,14
2017-10-24,12
2017-10-25,12
2017-10-26,12
2017-10-27,9
2017-10-28,5
2017-10-29,9
2017-10-30,8
2017-10-31,5
2017-11-01,5
2017-11-02,5
2017-11-03,6
2017-11-04,4
2017-11-05,0
2017-11-06,5
2017-11-07,4
2017-11-08,0
2017-11-09,8
2017-11-10,4
2017-11-11,0
2017-11-12,0
2017-11-13,0
2017-11-14,3
2017-11-15,0
2017-11-16,0
2017-11-17,0
2017-11-18,4
2017-11-19,0
2017-11-20,0
